"context","food","nonfood","travel","money","beauty","fun","health","dwelling","outfit","kids","misc","telecom","remote","charity"
"Индекс доступности недвижимости, СПБ","0.17262387080328737","1.4972465034775964","0.5649653575891038","0.9897657740445929","1.041642558618374","0.5048515600389843","0.2445058572100827","0.8817900520451877","1.957842902377529","1.3524609958318468","1.309281787634402","0.8686200079553779","2.4245610898981873","3.598385648574328"
"Индекс доступности недвижимости, Россия","0.239591902122733","1.7419059370170433","0.5104355256157344","0.7317449373101843","0.9290777295959307","0.5056273551962045","0.23613165543358042","1.047260940783742","1.8593348704913968","1.071664388165638","1.1826685530418508","0.9121298526552262","1.919419594539547","3.7130031711131553"
"Ключевая ставка ЦБ","0.17380008202606698","1.6275475742366077","0.47458916011830904","0.9352341929580053","1.2186250255749485","0.5065632529050184","0.3130579772141631","0.6768998198997087","1.876770498287627","1.7626640170822523","1.289101955093219","0.9051164730339205","2.011642133893368","3.69890610202391"
"Инфляция в процентах годовых","0.18884768564843674","1.3134269472468887","0.5777074166904772","1.1989463643004354","2.0618111583870995","0.4083062023272104","0.32459002665209546","0.6621103954053128","2.761164279775936","1.9121533350258626","0.9263251798096547","0.9080846270423306","2.7853992059665456","4.7563826031850525"
"Курс доллара, руб","0.19043246267849617","1.5299376135105782","0.4746938589030587","0.8404161206876976","1.2463613460241325","0.5289150386006098","0.31168097925710697","0.7806055139668349","1.9469002540699163","1.1597262346943757","1.137661644175874","0.9199719390208054","1.9628279284861754","3.9867538926587365"
"Средние ставки по ипотеке","0.1671901422249438","1.5986339711054172","0.5011489760830796","0.8657018479098143","1.144460340730292","0.49497277085224584","0.32091752607260954","0.9004471268029955","1.8568189862290394","1.4842993414496215","1.2928829850463208","0.911069645465633","1.724535667716386","3.82272838432072"
"Средние ставки по ипотеке, перв. рынок","0.18785215153440818","1.535195844603496","0.4953213927810107","0.8601098914178816","1.169358474667278","0.48419646919565107","0.30829447998616444","0.897299021186005","1.9055605270429155","1.5441131595959683","1.1155021715195208","0.922828381300983","1.682161667984397","3.650813299027015"
"Средние ставки по ипотеке, втор. рынок","0.15959756119411303","1.6476270432251001","0.49394792703989454","0.8808253050452803","1.2970617518923888","0.5046671364195876","0.3223846489541015","0.7548884701817062","1.9626421183178475","1.3736045808539705","1.2331622532045743","0.8405207151481815","1.818701323035963","4.336946314164414"
"Индекс потребительских цен","0.2738394542257287","1.4716072180631214","0.5335056599258515","1.5495558998670727","0.6664193898713406","0.47544473565331824","0.5796754808281989","1.0971581691430232","2.0852580853989564","0.7369105862968679","0.9294216018788035","0.9944276833139903","2.789210060151859","4.661933370210645"
"Индекс потребительских цен, продовольствие","0.18548748643629243","1.4486692994693977","0.5093230816535774","1.3136316001855175","0.7122037230796888","0.6211013102951275","0.451980386659134","1.2884003266603548","2.018660325755455","0.6562541621220004","0.9575299806002155","0.9840497774992982","2.1530429995702494","4.143988652707508"
"Индекс потребительских цен, не продукты","0.22151963819200932","1.7247506577362832","0.50355034874935","1.3074028016997938","1.1630937637307261","0.5058891771451867","0.49831579942012827","1.1551785404041994","2.030826688494033","1.2035075542442415","0.9617850011128392","0.8499704829617676","2.46575534871134","5.439597515937066"
"Индекс потребительских цен, услуги","0.2900280842558934","1.7645629301725532","0.5069808629191651","0.8044057114831711","1.1596127110007084","0.4903448600908388","0.297332498939222","0.7532393440211741","2.0317906842912943","0.7791975108688448","1.2634659477629184","1.100664217990622","1.7716701008468723","4.167144813993502"
"Безработица","0.18147299882230786","1.5102268331847202","0.4438603898574034","0.8124195385141159","1.222278642801554","0.4647021271916184","0.3219950278791348","0.8520801355172286","1.90224590335998","1.928185200572631","1.1810345804583162","0.9098982054089395","2.0991299334545777","4.109793742659382"
"ВВП относительно предыдущего года","0.218518987173792","1.2435128181455868","0.6238570835307778","0.8833944510862249","0.8995545368144342","0.7971045144311629","0.3947317026729976","0.917130749840043","1.7102320513937208","1.6690801022372388","1.0047643604499394","0.8946076470062906","2.1195688861079636","3.591331558632147"
"Относительный ВВП за вычетом сезонных вкладов","0.18943307969214437","1.1348066029710835","0.48662217797203317","0.8988921785835546","1.1893104722080843","0.501912562214169","0.32431410687692985","0.9383666050861803","2.2353793670631643","1.60858694047781","1.1854835781295698","0.92478144211628","1.7246988810664756","3.4419780052726243"
"ВВП в млрд. руб.","0.19086803346397996","1.4395068247378107","0.5044875008781099","0.8396266742226097","1.0802933622422095","0.4252938008583453","0.2875513920096479","0.8580687242198559","1.6308060298699387","1.3984557918574319","1.1281484523092524","0.9680509485504459","2.1026813538379105","4.494859319164193"
"Covid-19 в РФ, всего заражений","0.18198319017714518","1.7858394737756293","0.5358377960223448","0.9234266012599847","1.762406930914103","0.34027705652414547","0.413176422438566","0.711949811276379","2.3804098902190916","3.426169420928368","1.1356924318484927","0.8720662598789144","2.1064687382151654","3.380953897786595"
"Covid-19 в РФ, новых заражений","0.18899667844197693","1.662374155088798","0.4980013238088065","1.1044062002295224e+76","1.1090655076976597","0.48753457783383675","0.29230543039556706","0.9313092046707165","2.1267318860086464","1.8762793076829647","1.2378932875813329","0.9061600972611691","2.0095341617964673","3.6944360244077177"
"Covid-19 в РФ, всего смертей","0.18543442332815113","1.7185616203706762","0.5295474384505422","0.882200950714707","2.077387603423698","0.34114448648375606","0.3916400051465305","0.7328409410163946","2.525330860539947","2.703081352165716","1.0537068769023117","0.8524500756668367","2.1218033419260927","3.357821670348729"
"Covid-19 в РФ, новых смертей","0.19281066897982008","1.6321622068223745","0.5023244726211962","0.8597038078811085","1.2381571448929343","0.48348842678867965","0.30578715007367374","0.876535940806404","1.7743366539509497","1.8584226487821025","1.2837232367655502","0.9643003465047688","2.0722658548700226","3.5451097227842547"
